gb|ACT97415.1|ARO:3002999|CblA-1	296
gb|AEJ08681.1|ARO:3001109|SHV-52	286
gb|AAD01868.1|ARO:3002867|dfrF	164
gb|AFJ59957.1|ARO:3001989|CTX-M-130	291
gb|AEX08599.1|ARO:3002356|NDM-6	270
gb|BAP68758.1|ARO:3001855|ACT-35	381
gb|AAF61417.1|ARO:3002244|CARB-5	298
gb|AAP74657.1|ARO:3000600|Erm(34)	281
gb|AAT45742.1|ARO:3000988|TEM-126	286
gb|ACH58990.1|ARO:3002511|LRA-12	293
gb|AAF19151.1|ARO:3000938|TEM-72	286
gb|AAD45935.1|ARO:3000928|TEM-59	277
gb|ACS35345.1|ARO:3002320|KPC-10	293
gb|AEV91551.1|ARO:3001711|OXA-212	274
gb|CAB94707.1|ARO:3002193|IMP-2	246
gb|CAA63264.1|ARO:3002012|CMY-1	382
gb|AGW16411.1|ARO:3001517|OXA-329	273
gb|AEV91214.1|ARO:3001832|ACT-10	381
gb|BAO09635.1|ARO:3001557|OXA-371	274
gb|AAL12234.1|ARO:3003552|fusB	213
gb|AFA51699.1|ARO:3001980|CTX-M-121	291
gb|AAS48620.1|ARO:3002372|VEB-3	299
gb|AAA26652.1|ARO:3002835|lnuA	161
gb|CAD58780.1|ARO:3001794|OXA-45	264
gb|ACM67635.1|ARO:3001800|OXA-226	275
gb|AIS67611.1|ARO:3003163|CTX-M-155	291
gb|AIT76106.1|ARO:3002146|DHA-15	379
gb|ACB05808.1|ARO:3003109|msrE	491
gb|CAI43424.1|ARO:3002415|OXY-6-3	291
gb|ACC85616.1|ARO:3002804|FosA2	141
gb|AAA26699.1|ARO:3002649|APH(3')-Va	268
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	154
gb|AFR46589.1|ARO:3002771|QnrB58	226
gb|AGH19769.1|ARO:3003198|rmtH	252
gb|CAI43422.1|ARO:3002413|OXY-6-1	291
gb|AAL19308.1|ARO:3000504|golS	154
gb|BAE78082.1|ARO:3003550|mdtP	488
gb|AIT76099.1|ARO:3002125|CMY-114	381
gb|AAQ08905.1|ARO:3001808|OXA-60	271
gb|CAJ77809.1|ARO:3001650|OXA-90	274
gb|AAG29813.1|ARO:3002380|SME-2	294
gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	279
gb|AAL79541.1|ARO:3002397|OXY-2-2	290
gb|ACS44783.1|ARO:3002188|MOX-5	383
gb|AGE11905.1|ARO:3000904|TEM-34	286
gb|CAM86994.1|ARO:3001617|OXA-69	274
gb|AAO33760.1|ARO:3000879|TEM-7	261
gb|BAA84973.1|ARO:3001082|SHV-24	286
gb|AFU25658.1|ARO:3002762|QnrB47	214
